A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,kappa_1,kappa_2,kappa_3,kappa_4,kind,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_mean,mask_label,mix_base_kappa,n_points,one_mode_kappa,plot_group,r_bins,r_max,r_min,rep,seed_a,seed_b,seed_rot,sinkhorn_epsilon,uniqueness_level,weight_1,weight_2,weight_3,weight_4
nan,nan,3.1972707802196965e-05,nan,nan,9.294399205828086e-06,0.004113299772143364,0.004139830823987722,0.006408728513886963,0.01599312014877796,0.004139830823987722,0.002623090986162424,1.000037431716919,3.005767212016508e-05,1.0532816648483276,0.02284015528857708,4.417615127749741e-07,uniform,geo,nan,nan,nan,nan,uniform,nan,nan,2.0633553504012525e-05,none,18.0,1200,4.0,uniform,100,3.1400950303543946,0.0001,0,28,40,112,0.05,-2,nan,nan,nan,nan
nan,nan,1.716426959319506e-05,nan,nan,4.129708031541668e-05,0.005679399706423283,0.0058600991033017635,0.030835553067126376,0.025712966918945312,0.0058600991033017635,0.004125378560274839,1.0002548694610596,0.00023847617558203638,1.1125036478042603,0.0597417950630188,3.0139503845324117e-06,uniform,geo,nan,nan,nan,nan,uniform,nan,nan,2.923067495430587e-05,none,18.0,1200,4.0,uniform,100,3.1386132302873904,0.0001,1,10028,10040,10112,0.05,-2,nan,nan,nan,nan
nan,nan,2.1567662770394236e-05,nan,nan,1.9558696294552647e-05,0.004053758457303047,0.004117307253181934,0.01543455272369465,0.02462196536362171,0.004117307718843222,0.0024920369032770395,1.0000896453857422,7.56886656745337e-05,1.0878280401229858,0.046289920806884766,1.0586231170843046e-06,uniform,geo,nan,nan,nan,nan,uniform,nan,nan,2.056317953247344e-05,none,18.0,1200,4.0,uniform,100,3.1407229312044187,0.0001,2,20028,20040,20112,0.05,-2,nan,nan,nan,nan
nan,nan,6.07216679782141e-05,nan,nan,3.252971146139316e-05,0.008588763885200024,0.009346630424261093,0.0810844662365029,0.05115032196044922,0.009346629492938519,0.00807719025760889,1.0010648965835571,0.0009592899004928768,1.212510108947754,0.12643025815486908,1.252891340603431e-05,uniform,geo,nan,nan,nan,nan,uniform,nan,nan,4.662568971980363e-05,none,18.0,1200,4.0,uniform,100,3.140390585242585,0.0001,3,30028,30040,30112,0.05,-2,nan,nan,nan,nan
nan,nan,1.2670874639297836e-05,nan,nan,2.969258275697939e-05,0.004161844030022621,0.004246089607477188,0.019840744129896337,0.019526002928614616,0.004246089607477188,0.00288631534203887,1.0001188516616821,0.00010782987374113873,1.0811667442321777,0.038965873420238495,1.4041467026496927e-06,uniform,geo,nan,nan,nan,nan,uniform,nan,nan,2.1181728698138613e-05,none,18.0,1200,4.0,uniform,100,3.1398206339717167,0.0001,4,40028,40040,40112,0.05,-2,nan,nan,nan,nan
nan,nan,2.7004023650079034e-05,nan,nan,8.115666787489317e-06,0.0035018844064325094,0.003524297382682562,0.006359558747846772,0.015133858658373356,0.003524297382682562,0.0022978659253567457,1.000031590461731,2.6299769160686992e-05,1.0495494604110718,0.021826481446623802,3.7315068766474726e-07,uniform,euc,nan,nan,nan,nan,uniform,nan,nan,1.7559845218784176e-05,none,18.0,1200,4.0,uniform,100,1.9999994392809188,0.0001,0,28,40,112,0.05,-2,nan,nan,nan,nan
nan,nan,1.4642193491454236e-05,nan,nan,3.476182610029355e-05,0.004814477171748877,0.004952277056872845,0.027825560553549233,0.023219583556056023,0.004952277056872845,0.0036235761363059282,1.0001945495605469,0.0001966758572962135,1.1000890731811523,0.05697339028120041,2.2999280675624808e-06,uniform,euc,nan,nan,nan,nan,uniform,nan,nan,2.470200979587389e-05,none,18.0,1200,4.0,uniform,100,1.9999977807586067,0.0001,1,10028,10040,10112,0.05,-2,nan,nan,nan,nan
nan,nan,1.867303035396617e-05,nan,nan,1.665175295784138e-05,0.0034816344268620014,0.0035370364785194397,0.01566340974821634,0.024014949798583984,0.0035370364785194397,0.002357647754251957,1.0000780820846558,6.995132571319118e-05,1.0844652652740479,0.04833235591650009,9.233949822373688e-07,uniform,euc,nan,nan,nan,nan,uniform,nan,nan,1.7662391655903775e-05,none,18.0,1200,4.0,uniform,100,1.9999998108947459,0.0001,2,20028,20040,20112,0.05,-2,nan,nan,nan,nan
nan,nan,5.1634604460559785e-05,nan,nan,2.7518788556335494e-05,0.007367581129074097,0.007931848987936974,0.07113951106747429,0.04284476861357689,0.007931848987936974,0.006919334176927805,1.0007933378219604,0.0007016892195679247,1.187333106994629,0.10713531076908112,9.336878235141437e-06,uniform,euc,nan,nan,nan,nan,uniform,nan,nan,3.957669650844764e-05,none,18.0,1200,4.0,uniform,100,1.9999996387573864,0.0001,3,30028,30040,30112,0.05,-2,nan,nan,nan,nan
nan,nan,1.0817178917932324e-05,nan,nan,2.5228955564671196e-05,0.003547713626176119,0.003610959742218256,0.0175150432453407,0.01715087704360485,0.0036109602078795433,0.0025204105768352747,1.000089168548584,8.480905671603978e-05,1.0715795755386353,0.03502780199050903,1.054366099803398e-06,uniform,euc,nan,nan,nan,nan,uniform,nan,nan,1.802306724130176e-05,none,18.0,1200,4.0,uniform,100,1.9999992149864398,0.0001,4,40028,40040,40112,0.05,-2,nan,nan,nan,nan
1.238390245584047,0.21381234719443584,0.0032326453365385532,1.2656311262318936,0.2355709117805726,0.0031955200247466564,0.02656397596001625,0.6428810954093933,0.9586797991888375,9.123016357421875,0.6428810358047485,0.9580020308494568,1.2334282398223877,0.3341119587421417,9.463913917541504,34.50448989868164,0.004721544186274211,one_vmf,geo,4.0,nan,nan,nan,one_vmf,1.2520106859079703,0.2246916294875042,0.003214082680642605,none,18.0,1200,4.0,one_vmf,100,3.1283179870681668,0.0001,0,40,52,124,0.05,-1,1.0,nan,nan,nan
1.2683857280724984,0.23774501170492218,0.003364676609635353,1.2788998791500157,0.24600023896187564,0.003338477574288845,0.029933514073491096,0.6729772090911865,0.9555207610761226,9.197893142700195,0.6729771494865417,1.0092500448226929,1.2348779439926147,0.25936973094940186,9.265832901000977,24.982812881469727,0.0045219087600708,one_vmf,geo,4.0,nan,nan,nan,one_vmf,1.273642803611257,0.24187262533339893,0.003351577091962099,none,18.0,1200,4.0,one_vmf,100,3.124164246488545,0.0001,1,10040,10052,10124,0.05,-1,1.0,nan,nan,nan
1.2634582035044495,0.23385256736579646,0.0033660358749330044,1.242069534993771,0.2167789682514962,0.003405523020774126,0.02890729159116745,0.6797954440116882,0.9574764852488914,9.663400650024414,0.679795503616333,0.9798587560653687,1.2369956970214844,0.323827862739563,9.051392555236816,31.0993595123291,0.004490577379862468,one_vmf,geo,4.0,nan,nan,nan,one_vmf,1.2527638692491103,0.22531576780864632,0.003385779447853565,none,18.0,1200,4.0,one_vmf,100,3.1326816134667803,0.0001,2,20040,20052,20124,0.05,-1,1.0,nan,nan,nan
1.2867771589558357,0.25214076595773893,0.0034391756635159254,1.2871228825756684,0.2524094039128525,0.003257854375988245,0.026326697319746017,0.6698066592216492,0.9606950797557925,9.761849403381348,0.6698066592216492,1.0229219198226929,1.2570289373397827,0.8008235692977905,10.266417503356934,44.80851745605469,0.005341998338699341,one_vmf,geo,4.0,nan,nan,nan,one_vmf,1.286950020765752,0.2522750849352957,0.003348515019752085,none,18.0,1200,4.0,one_vmf,100,3.133675340005429,0.0001,3,30040,30052,30124,0.05,-1,1.0,nan,nan,nan
1.2957233352775444,0.25906909927477456,0.003446107031777501,1.2683010840607551,0.23767827582616116,0.003421342233195901,0.02722252532839775,0.6867685317993164,0.9603614259129267,10.07656478881836,0.6867685914039612,1.0183849334716797,1.2414546012878418,0.39631855487823486,9.69605541229248,36.546058654785156,0.004803209702173869,one_vmf,geo,4.0,nan,nan,nan,one_vmf,1.2820122096691497,0.24837368755046785,0.003433724632486701,none,18.0,1200,4.0,one_vmf,100,3.1297827659767856,0.0001,4,40040,40052,40124,0.05,-1,1.0,nan,nan,nan
